,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
47,DLUT1st0049,2019-01-18 15:28:21,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,163.0,52.5,4.5,0.0,2.0,0.1,1.69 ,1.2 ,0.1 ,22.6 ,26 ,0.00 ,24.9 ,0.6 ,23.9 ,26 ,0.00 ,24.9 ,1.1 ,25.0 ,26 ,0.00 ,24.9 ,NA,NA,NA,24.4 ,24.9 ,NA,1.01,26.65,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
48,DLUT1st0050,2019-01-18 15:38:45,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Male,18-30,180.0,75.0,0.5,0.0,1.0,1.0,1.24 ,1.0 ,0.1 ,22.7 ,26 ,0.00 ,25.0 ,0.6 ,24.0 ,26 ,0.00 ,25.0 ,1.1 ,25.0 ,26 ,0.00 ,25.0 ,NA,NA,NA,24.5 ,25.0 ,NA,0.45,9.31,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
49,DLUT1st0051,2019-01-18 15:46:35,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,163.0,51.0,7.0,0.0,1.0,1.0,1.54 ,1.0 ,0.1 ,23.0 ,26 ,0.00 ,25.1 ,0.6 ,23.7 ,26 ,0.00 ,25.1 ,1.1 ,25.1 ,26 ,0.00 ,25.1 ,NA,NA,NA,24.5 ,25.1 ,NA,0.73,16.24,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
50,DLUT1st0052,2019-01-18 15:58:03,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Male,18-30,182.0,73.0,7.0,0.0,1.0,1.0,0.66 ,0.9 ,0.1 ,23.4 ,26 ,0.00 ,25.3 ,0.6 ,24.4 ,26 ,0.00 ,25.3 ,1.1 ,25.4 ,26 ,0.00 ,25.3 ,NA,NA,NA,24.9 ,25.3 ,NA,-0.76,17.12,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
51,DLUT1st0053,2019-01-18 16:01:22,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,167.0,51.0,3.5,0.0,1.0,0.1,0.97 ,0.9 ,0.1 ,22.6 ,27 ,0.00 ,25.4 ,0.6 ,24.3 ,27 ,0.00 ,25.4 ,1.1 ,25.5 ,27 ,0.00 ,25.4 ,NA,NA,NA,24.8 ,25.4 ,NA,-0.19,5.76,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
52,DLUT1st0054,2019-01-18 16:08:30,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Male,18-30,172.0,70.0,25.0,3.0,2.0,-0.1,1.23 ,1.0 ,0.1 ,23.5 ,28 ,0.00 ,25.3 ,0.6 ,24.4 ,28 ,0.00 ,25.3 ,1.1 ,25.3 ,28 ,0.00 ,25.3 ,NA,NA,NA,24.9 ,25.3 ,NA,0.55,11.46,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
53,DLUT1st0055,2019-01-18 16:27:20,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,163.0,42.0,2.0,1.0,2.0,0.1,1.10 ,1.0 ,0.1 ,22.6 ,28 ,0.00 ,24.7 ,0.6 ,24.0 ,28 ,0.00 ,24.7 ,1.1 ,24.8 ,28 ,0.00 ,24.7 ,NA,NA,NA,24.3 ,24.7 ,NA,0.27,6.52,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
54,DLUT1st0056,2019-01-18 16:34:01,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,165.0,52.0,1.5,0.0,2.0,0.1,0.88 ,1.2 ,0.1 ,23.3 ,29 ,0.00 ,24.8 ,0.6 ,24.1 ,29 ,0.00 ,24.8 ,1.1 ,24.9 ,29 ,0.00 ,24.8 ,NA,NA,NA,24.5 ,24.8 ,NA,0.39,8.27,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
55,DLUT1st0057,2019-01-18 16:40:18,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,162.0,46.0,5.0,0.0,1.0,1.0,1.13 ,0.9 ,0.1 ,23.0 ,28 ,0.00 ,25.0 ,0.6 ,24.3 ,28 ,0.00 ,25.0 ,1.1 ,25.2 ,28 ,0.00 ,25.0 ,NA,NA,NA,24.6 ,25.0 ,NA,0.00,5.00,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
56,DLUT1st0058,2019-01-18 16:45:21,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,168.0,51.0,6.0,1.0,2.0,0.1,1.03 ,1.0 ,0.1 ,22.8 ,28 ,0.00 ,25.5 ,0.6 ,24.3 ,28 ,0.00 ,25.5 ,1.1 ,25.0 ,28 ,0.00 ,25.5 ,NA,NA,NA,24.8 ,25.5 ,NA,0.32,7.08,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
57,DLUT1st0059,2019-01-18 16:53:34,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Female,18-30,170.0,56.0,2.0,1.0,1.0,1.0,1.21 ,1.0 ,0.1 ,23.0 ,29 ,0.00 ,25.2 ,0.6 ,24.3 ,29 ,0.00 ,25.2 ,1.1 ,25.1 ,29 ,0.00 ,25.2 ,NA,NA,NA,24.7 ,25.2 ,NA,0.50,10.17,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
58,DLUT1st0060,2019-01-18 16:58:24,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Male,18-30,172.0,57.0,2.0,1.0,2.0,0.1,0.83 ,1.0 ,0.1 ,23.0 ,30 ,0.00 ,25.1 ,0.6 ,23.9 ,30 ,0.00 ,25.1 ,1.1 ,25.0 ,30 ,0.00 ,25.1 ,NA,NA,NA,24.5 ,25.1 ,NA,-0.04,5.03,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
59,DLUT1st0061,2019-01-18 17:03:12,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,6,Convection heating,13.8¡Á8.4,3.4,Male,18-30,175.0,70.0,6.0,1.0,2.0,0.1,1.07 ,1.0 ,0.1 ,22.5 ,30 ,0.00 ,25.0 ,0.6 ,23.9 ,30 ,0.00 ,25.0 ,1.1 ,24.9 ,30 ,0.00 ,25.0 ,NA,NA,NA,24.4 ,25.0 ,NA,0.27,6.57,NA,-2.1,-2.0,-2.7,-2.8,NA,NA,
60,DLUT1st0062,2019-01-19 10:37:55,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,2,Radiator heating,4.5¡Á3.0,2.6,Male,18-30,182.0,75.0,6.0,-1.0,2.0,0.1,1.02 ,1.0 ,0.1 ,16.2 ,36 ,0.00 ,17.1 ,0.6 ,16.4 ,36 ,0.00 ,17.1 ,1.1 ,17.9 ,36 ,0.00 ,17.1 ,NA,NA,NA,16.9 ,17.1 ,NA,-1.74,63.96,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
61,DLUT1st0063,2019-01-19 10:45:47,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,2,Radiator heating,4.5¡Á3.0,2.6,Female,18-30,170.0,62.0,6.0,0.0,2.0,1.0,0.99 ,1.0 ,0.1 ,16.2 ,37 ,0.00 ,17.2 ,0.6 ,16.5 ,37 ,0.00 ,17.2 ,1.1 ,17.9 ,37 ,0.00 ,17.2 ,NA,NA,NA,17.0 ,17.2 ,NA,-1.79,66.51,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
62,DLUT1st0064,2019-01-19 15:05:00,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,7,Radiator heating,4.3¡Á3.0,2.6,Female,18-30,167.0,52.0,18.0,1.0,2.0,1.0,1.24 ,1.0 ,0.1 ,23.8 ,41 ,0.00 ,25.4 ,0.6 ,24.2 ,41 ,0.00 ,25.4 ,1.1 ,25.1 ,41 ,0.00 ,25.4 ,NA,NA,NA,24.9 ,25.4 ,NA,0.67,14.39,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
63,DLUT1st0065,2019-01-19 15:10:51,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,7,Radiator heating,4.3¡Á3.0,2.6,Male,51-60,NA,NA,18.0,2.0,1.0,1.0,1.17 ,1.0 ,0.1 ,24.0 ,45 ,0.00 ,25.4 ,0.6 ,24.4 ,45 ,0.00 ,25.4 ,1.1 ,25.1 ,45 ,0.00 ,25.4 ,NA,NA,NA,24.9 ,25.4 ,NA,0.65,13.82,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
64,DLUT1st0066,2019-01-19 15:18:13,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,7,Radiator heating,4.3¡Á3.0,2.6,Female,51-60,NA,NA,18.0,1.0,1.0,1.0,0.94 ,1.0 ,0.1 ,24.1 ,45 ,0.00 ,25.4 ,0.6 ,24.5 ,45 ,0.00 ,25.4 ,1.1 ,25.5 ,45 ,0.00 ,25.4 ,NA,NA,NA,25.0 ,25.4 ,NA,0.40,8.39,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
65,DLUT1st0067,2019-01-19 15:22:49,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,7,Radiator heating,4.3¡Á3.0,2.6,Female,18-30,170.0,62.0,6.0,2.0,2.0,0.1,0.92 ,0.8 ,0.1 ,24.1 ,45 ,0.00 ,25.4 ,0.6 ,24.5 ,45 ,0.00 ,25.4 ,1.1 ,25.6 ,45 ,0.00 ,25.4 ,NA,NA,NA,25.0 ,25.4 ,NA,-0.54,11.17,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
66,DLUT1st0068,2019-01-19 15:24:58,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,7,Radiator heating,4.3¡Á3.0,2.6,Female,18-30,160.0,52.0,5.0,1.0,1.0,1.0,0.88 ,1.0 ,0.1 ,24.1 ,45 ,0.00 ,25.4 ,0.6 ,24.5 ,45 ,0.00 ,25.4 ,1.1 ,25.6 ,45 ,0.00 ,25.4 ,NA,NA,NA,25.0 ,25.4 ,NA,0.32,7.18,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
67,DLUT1st0069,2019-01-19 18:35:09,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,2,Radiator heating,5.9¡Á3.8,2.6,Male,41-50,170.0,70.0,18.0,0.0,1.0,1.0,0.91 ,0.9 ,0.1 ,19.9 ,47 ,0.00 ,21.4 ,0.6 ,20.6 ,47 ,0.00 ,21.4 ,1.1 ,21.0 ,47 ,0.00 ,21.4 ,NA,NA,NA,21.0 ,21.4 ,NA,-1.36,43.77,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
68,DLUT1st0070,2019-01-19 18:42:22,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,2,Radiator heating,5.9¡Á3.8,2.6,Female,18-30,162.0,45.0,1.0,0.0,1.0,1.0,1.79 ,1.0 ,0.1 ,19.9 ,48 ,0.00 ,21.6 ,0.6 ,20.8 ,48 ,0.00 ,21.6 ,1.1 ,21.3 ,48 ,0.00 ,21.6 ,NA,NA,NA,21.2 ,21.6 ,NA,0.41,8.60,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
69,DLUT1st0071,2019-01-19 18:45:50,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,2,Radiator heating,5.9¡Á3.8,2.6,Female,18-30,170.0,62.0,6.0,0.0,1.0,1.0,1.57 ,1.0 ,0.1 ,20.2 ,47 ,0.00 ,21.6 ,0.6 ,20.8 ,47 ,0.00 ,21.6 ,1.1 ,21.0 ,47 ,0.00 ,21.6 ,NA,NA,NA,21.2 ,21.6 ,NA,0.20,5.84,NA,-5.3,-2.0,-2.6,-2.7,NA,NA,
70,DLUT1st0072,2019-01-20 10:05:16,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,3,Radiant floor heating,11.1¡Á4.0,2.8,Female,18-30,170.0,60.0,6.0,1.0,1.0,1.0,0.90 ,1.1 ,0.1 ,25.5 ,20 ,0.00 ,27.8 ,0.6 ,25.8 ,20 ,0.00 ,27.8 ,1.1 ,26.8 ,20 ,0.00 ,27.8 ,NA,NA,NA,26.9 ,27.8 ,NA,0.80,18.68,NA,-9.0,-2.0,-3.1,-3.2,NA,NA,
71,DLUT1st0073,2019-01-20 10:07:05,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,3,Radiant floor heating,11.1¡Á4.0,2.8,Male,41-50,170.0,75.0,14.0,1.0,1.0,1.0,0.89 ,0.9 ,0.1 ,25.3 ,20 ,0.00 ,28.0 ,0.6 ,26.0 ,20 ,0.00 ,28.0 ,1.1 ,26.8 ,20 ,0.00 ,28.0 ,NA,NA,NA,27.0 ,28.0 ,NA,0.33,7.32,NA,-9.0,-2.0,-3.1,-3.2,NA,NA,
72,DLUT1st0074,2019-01-20 10:14:00,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,3,Radiant floor heating,11.1¡Á4.0,2.8,Female,18-30,160.0,52.0,5.0,0.0,1.0,1.0,0.99 ,1.0 ,0.1 ,25.3 ,20 ,0.00 ,28.1 ,0.6 ,26.0 ,20 ,0.00 ,28.1 ,1.1 ,26.8 ,20 ,0.00 ,28.1 ,NA,NA,NA,27.1 ,28.1 ,NA,0.81,18.78,NA,-9.0,-2.0,-3.1,-3.2,NA,NA,
73,DLUT1st0075,2019-01-20 10:42:54,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,2,Radiant floor heating,12.1¡Á4.5,2.8,Male,31-40,175.0,67.0,2.0,2.0,1.0,1.0,1.00 ,0.9 ,0.1 ,24.7 ,26 ,0.00 ,26.0 ,0.6 ,25.2 ,26 ,0.00 ,26.0 ,1.1 ,25.8 ,26 ,0.00 ,26.0 ,NA,NA,NA,25.6 ,26.0 ,NA,0.10,5.21,NA,-9.0,-2.0,-3.1,-3.2,NA,NA,
74,DLUT1st0076,2019-01-20 10:43:49,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,2,Radiant floor heating,12.1¡Á4.5,2.8,Female,31-40,160.0,53.0,1.5,2.0,1.0,1.0,1.18 ,0.9 ,0.1 ,24.7 ,26 ,0.00 ,26.0 ,0.6 ,25.2 ,26 ,0.00 ,26.0 ,1.1 ,25.8 ,26 ,0.00 ,26.0 ,NA,NA,NA,25.6 ,26.0 ,NA,0.32,7.15,NA,-9.0,-2.0,-3.1,-3.2,NA,NA,
75,DLUT1st0077,2019-01-21 09:15:19,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Bedroom,3,Radiator heating,4.0¡Á2.8,2.8,Male,18-30,173.0,65.0,2.0,-1.0,2.0,1.0,1.12 ,1.0 ,0.1 ,20.3 ,33 ,0.00 ,22.1 ,0.6 ,20.9 ,33 ,0.00 ,22.1 ,1.1 ,21.3 ,33 ,0.00 ,22.1 ,NA,NA,NA,21.5 ,22.1 ,NA,-0.39,8.14,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
76,DLUT1st0078,2019-01-21 10:13:22,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,6,Radiant floor heating,21.6¡Á17.8,3.0,Male,18-30,180.0,70.0,6.0,2.0,2.0,0.1,0.86 ,1.0 ,0.1 ,20.7 ,46 ,0.00 ,23.0 ,0.6 ,21.5 ,46 ,0.00 ,23.0 ,1.1 ,21.8 ,46 ,0.00 ,23.0 ,NA,NA,NA,22.2 ,23.0 ,NA,-0.57,11.94,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
77,DLUT1st0080,2019-01-21 10:22:36,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,6,Radiant floor heating,21.6¡Á17.8,3.0,Female,18-30,170.0,62.0,7.0,0.0,1.0,1.0,1.02 ,1.0 ,0.1 ,20.9 ,44 ,0.00 ,22.9 ,0.6 ,21.9 ,44 ,0.00 ,22.9 ,1.1 ,22.3 ,44 ,0.00 ,22.9 ,NA,NA,NA,22.3 ,22.9 ,NA,-0.25,6.30,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
78,DLUT1st0081,2019-01-21 10:23:41,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Residential,Living room,6,Radiant floor heating,21.6¡Á17.8,3.0,Female,18-30,160.0,52.0,4.0,1.0,1.0,1.0,1.53 ,1.0 ,0.1 ,20.9 ,44 ,0.00 ,22.9 ,0.6 ,21.9 ,44 ,0.00 ,22.9 ,1.1 ,22.3 ,44 ,0.00 ,22.9 ,NA,NA,NA,22.3 ,22.9 ,NA,0.39,8.19,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
79,DLUT1st0082,2019-01-21 14:17:54,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Male,18-30,175.0,57.0,2.0,1.0,2.0,0.1,0.94 ,1.0 ,0.1 ,24.4 ,26 ,0.00 ,25.6 ,0.6 ,24.7 ,26 ,0.00 ,25.6 ,1.1 ,25.3 ,26 ,0.00 ,25.6 ,NA,NA,NA,25.2 ,25.6 ,NA,0.30,6.83,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
80,DLUT1st0083,2019-01-21 14:20:52,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Female,18-30,NA,NA,1.0,1.0,1.0,1.0,1.48 ,1.0 ,0.1 ,24.2 ,26 ,0.00 ,25.6 ,0.6 ,24.7 ,26 ,0.00 ,25.6 ,1.1 ,25.3 ,26 ,0.00 ,25.6 ,NA,NA,NA,25.2 ,25.6 ,NA,0.83,19.57,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
81,DLUT1st0084,2019-01-21 14:28:42,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Female,18-30,165.0,50.0,3.0,1.0,2.0,1.0,0.93 ,0.9 ,0.1 ,24.2 ,27 ,0.00 ,25.6 ,0.6 ,25.0 ,27 ,0.00 ,25.6 ,1.1 ,25.4 ,27 ,0.00 ,25.6 ,NA,NA,NA,25.3 ,25.6 ,NA,-0.10,5.19,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
82,DLUT1st0085,2019-01-21 14:28:51,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Female,18-30,168.0,60.0,7.0,1.0,2.0,1.0,0.99 ,1.0 ,0.1 ,24.2 ,27 ,0.00 ,25.6 ,0.6 ,25.0 ,27 ,0.00 ,25.6 ,1.1 ,25.4 ,27 ,0.00 ,25.6 ,NA,NA,NA,25.3 ,25.6 ,NA,0.39,8.13,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
83,DLUT1st0086,2019-01-21 14:38:09,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Male,18-30,173.0,62.0,0.5,1.0,2.0,1.0,1.46 ,1.0 ,0.1 ,24.1 ,28 ,0.00 ,25.3 ,0.6 ,24.8 ,28 ,0.00 ,25.3 ,1.1 ,25.2 ,28 ,0.00 ,25.3 ,NA,NA,NA,25.0 ,25.3 ,NA,0.80,18.50,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
84,DLUT1st0087,2019-01-21 14:38:12,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Female,18-30,163.0,56.0,3.0,-1.0,1.0,0.1,0.81 ,0.9 ,0.1 ,24.1 ,28 ,0.00 ,25.3 ,0.6 ,24.8 ,28 ,0.00 ,25.3 ,1.1 ,25.2 ,28 ,0.00 ,25.3 ,NA,NA,NA,25.0 ,25.3 ,NA,-0.37,7.83,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
85,DLUT1st0088,2019-01-21 14:44:56,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Male,18-30,175.0,72.0,5.0,0.0,2.0,0.1,0.92 ,1.0 ,0.1 ,24.0 ,29 ,0.00 ,25.5 ,0.6 ,25.0 ,29 ,0.00 ,25.5 ,1.1 ,25.3 ,29 ,0.00 ,25.5 ,NA,NA,NA,25.2 ,25.5 ,NA,0.28,6.69,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
86,DLUT1st0089,2019-01-21 14:49:06,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Female,18-30,160.0,56.0,1.0,1.0,1.0,1.0,1.67 ,1.0 ,0.1 ,24.0 ,29 ,0.00 ,25.5 ,0.6 ,25.0 ,29 ,0.00 ,25.5 ,1.1 ,25.3 ,29 ,0.00 ,25.5 ,NA,NA,NA,25.2 ,25.5 ,NA,0.98,25.43,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
87,DLUT1st0090,2019-01-21 14:53:12,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á6.0,3.7,Male,18-30,174.0,88.0,2.5,2.0,1.0,0.1,0.71 ,1.0 ,0.1 ,24.9 ,27 ,0.00 ,25.7 ,0.6 ,25.1 ,27 ,0.00 ,25.7 ,1.1 ,26.1 ,27 ,0.00 ,25.7 ,NA,NA,NA,25.5 ,25.7 ,NA,0.06,5.07,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
88,DLUT1st0091,2019-01-21 15:04:02,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Female,18-30,162.0,56.0,2.5,1.0,2.0,-0.1,1.03 ,1.0 ,0.1 ,23.4 ,28 ,0.00 ,24.7 ,0.6 ,23.6 ,28 ,0.00 ,24.7 ,1.1 ,24.3 ,28 ,0.00 ,24.7 ,NA,NA,NA,24.2 ,24.7 ,NA,0.16,5.56,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
89,DLUT1st0092,2019-01-21 15:09:12,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Female,18-30,163.0,55.0,1.5,2.0,1.0,1.0,1.68 ,0.9 ,0.1 ,23.4 ,29 ,0.00 ,24.8 ,0.6 ,24.0 ,29 ,0.00 ,24.8 ,1.1 ,24.5 ,29 ,0.00 ,24.8 ,NA,NA,NA,24.4 ,24.8 ,NA,0.52,10.60,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
90,DLUT1st0093,2019-01-21 15:11:56,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Male,18-30,177.0,70.0,3.0,0.0,2.0,1.0,1.12 ,1.0 ,0.1 ,23.3 ,30 ,0.00 ,24.9 ,0.6 ,24.0 ,30 ,0.00 ,24.9 ,1.1 ,24.7 ,30 ,0.00 ,24.9 ,NA,NA,NA,24.5 ,24.9 ,NA,0.35,7.58,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
91,DLUT1st0094,2019-01-21 15:18:10,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Male,18-30,171.0,65.0,6.0,0.0,2.0,0.1,1.63 ,1.0 ,0.1 ,23.1 ,31 ,0.00 ,24.8 ,0.6 ,24.0 ,31 ,0.00 ,24.8 ,1.1 ,24.6 ,31 ,0.00 ,24.8 ,NA,NA,NA,24.4 ,24.8 ,NA,0.81,18.95,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
92,DLUT1st0095,2019-01-21 15:22:16,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Male,18-30,175.0,73.0,2.5,1.0,1.0,1.0,0.96 ,1.0 ,0.1 ,23.4 ,31 ,0.00 ,24.9 ,0.6 ,24.2 ,31 ,0.00 ,24.9 ,1.1 ,24.8 ,31 ,0.00 ,24.9 ,NA,NA,NA,24.5 ,24.9 ,NA,0.18,5.65,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
93,DLUT1st0096,2019-01-21 15:25:51,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Male,18-30,185.0,78.0,7.0,0.0,1.0,1.0,1.35 ,1.0 ,0.1 ,23.6 ,31 ,0.00 ,25.1 ,0.6 ,24.4 ,31 ,0.00 ,25.1 ,1.1 ,25.0 ,31 ,0.00 ,25.1 ,NA,NA,NA,24.7 ,25.1 ,NA,0.66,14.28,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
94,DLUT1st0097,2019-01-21 15:26:40,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Male,18-30,170.0,68.0,2.0,0.0,2.0,1.0,1.34 ,1.0 ,0.1 ,23.6 ,31 ,0.00 ,25.1 ,0.6 ,24.4 ,31 ,0.00 ,25.1 ,1.1 ,25.0 ,31 ,0.00 ,25.1 ,NA,NA,NA,24.7 ,25.1 ,NA,0.65,14.03,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
95,DLUT1st0098,2019-01-21 15:30:29,Dalian University of Technology,Winter Season,"Liaoning Province,Dalian City",Cold zone,Office,Office,4,Radiator heating,7.3¡Á5.7,3.7,Male,18-30,170.0,63.0,2.5,1.0,1.0,1.0,0.98 ,1.0 ,0.1 ,23.5 ,31 ,0.00 ,25.1 ,0.6 ,24.4 ,31 ,0.00 ,25.1 ,1.1 ,25.2 ,31 ,0.00 ,25.1 ,NA,NA,NA,24.7 ,25.1 ,NA,0.26,6.45,NA,-4.6,-2.0,-4.1,-4.4,NA,NA,
